 ,Id,Location,Area,Region,Number_of_Rooms,House_Type,House_Price,isSold,Sold_Date,Distance_from_City_inMiles,Seller,PostalCode,Number_of_Bedrooms,Number_of_Bathrooms,Number_of_CarParkings,_of_Land_inMeters,Height_of_Building_inMeters,Year_Built,Lattitude,Longtitude
0,8505,105,5,2,4,other,2165000,0,06-05-2017,8,4,83,4,2,2,450,190,1910,-37.861,144.8985
1,5523,88,11,2,2,other,815000,1,30-07-2016,6.6,25,42,2,1,0,172,81,1900,-37.81,144.8896
2,12852,96,20,2,3,other,610000,0,16-09-2017,10.5,31,77,3,1,1,581,,,-37.7674,144.82421
3,4818,83,6,3,3,townhouse,1245000,0,06-08-2016,4.5,9,69,2,2,1,128,134,2000,-37.8526,145.0071
4,12812,81,20,1,3,other,1160000,1,16-09-2017,8.5,2,67,3,2,2,480,,,-37.72523,144.94567
5,2153,37,14,4,4,other,1250000,0,14-05-2016,13.9,45,34,4,2,3,767,,1963,-37.7735,145.1044
6,9903,233,19,1,4,other,715000,1,24-06-2017,20.4,81,158,4,2,2,680,230,2011,-37.61236,144.90753
7,5105,85,4,1,3,other,812000,1,12-06-2016,11.2,43,71,3,1,2,696,,1950,-37.7223,145.0126
8,6107,97,18,2,3,other,750500,1,28-08-2016,13.5,33,77,3,2,6,805,181,1995,-37.7966,144.7928
9,8876,188,27,1,3,other,610000,1,01-07-2017,17.9,43,127,3,1,1,560,,,-37.66903,145.05091
10,10162,112,13,1,4,other,1210000,1,27-05-2017,4,1,86,4,2,2,425,140,1920,-37.76262,144.97733
11,11268,6,5,2,3,duplex,451500,0,15-07-2017,9.4,30,6,3,1,1,180,88,1965,-37.83648,144.86296
12,13348,14,20,3,5,other,2800000,1,26-08-2017,9.7,9,13,5,2,2,1173,0,1960,-37.80385,145.09094
13,7161,125,9,3,4,other,1641000,1,28-08-2016,12.1,46,27,3,1,1,560,,,-37.8897,145.0709
14,7626,112,13,1,1,other,1185000,1,13-05-2017,4.5,106,86,1,1,0,365,,,-37.7667,144.9802
